"product_id","product_code","product_name","product_category","tax_treatment","contribution_limit_2026","income_limit_2026","early_withdrawal_penalty","required_minimum_distributions","eligible_investments","purpose","best_suited_for","when_to_recommend","key_benefits","key_limitations","common_age_range","typical_time_horizon","risk_suitability"
"1","INDV_BROK","Individual Brokerage","Taxable Account","Taxable — dividends and capital gains taxed annually","Unlimited","None","None","None","Stocks, ETFs, Bonds, Mutual Funds, Options, REITs","General-purpose investment account with no contribution limits or withdrawal restrictions. Gains are subject to capital gains tax; losses can offset gains via tax-loss harvesting.","Individual investors seeking flexibility, high earners who have maxed tax-advantaged accounts, investors needing access to funds before retirement age","When client has maxed IRA/401(k) contributions; needs liquidity before retirement; has long-term taxable goals such as a home purchase or generational wealth; wants to hold individual securities or alternative investments not available in retirement accounts","No contribution limits, full investment flexibility, no withdrawal restrictions, tax-loss harvesting opportunities, step-up in cost basis at death","No tax deferral, dividends and short-term gains taxed as ordinary income, requires active tax management","25-65","Medium to Long-Term (3-20+ years)","Conservative, Moderate, Aggressive"
"2","JOINT_BROK","Joint Brokerage","Taxable Account","Taxable — dividends and capital gains taxed annually","Unlimited","None","None","None","Stocks, ETFs, Bonds, Mutual Funds, Options, REITs","Jointly owned taxable brokerage account held by two individuals (typically spouses or partners). Both owners have equal rights to the account assets. Most commonly structured as Joint Tenants with Right of Survivorship (JTWROS).","Married couples or domestic partners building shared wealth, co-investors with shared financial goals","When clients are planning jointly for retirement or major purchases; when survivorship simplicity is desired (JTWROS avoids probate); when both parties want equal access and ownership of a shared portfolio","Shared ownership simplifies estate transfer, no contribution limits, full flexibility, survivorship rights avoid probate","Both owners liable for tax on 50% of income, disputes can complicate account management, less estate planning flexibility than a trust","25-65","Medium to Long-Term (3-20+ years)","Conservative, Moderate, Aggressive"
"3","TRAD_IRA","Traditional IRA","Retirement Account","Tax-Deferred — contributions may be deductible; withdrawals taxed as ordinary income","$7,500 ($8,600 if age 50+)","Deductibility phases out $81K-$91K single / $129K-$149K married (if covered by workplace plan)","10% penalty on withdrawals before age 59.5 (exceptions apply)","Yes — RMDs begin at age 73","Stocks, ETFs, Bonds, Mutual Funds, CDs","Tax-advantaged retirement savings vehicle where contributions may be tax-deductible and investments grow tax-deferred. Withdrawals in retirement are taxed as ordinary income, ideally at a lower rate than during working years.","Working individuals expecting to be in a lower tax bracket in retirement, high earners without access to a workplace retirement plan, clients looking to reduce current-year taxable income","When client wants to reduce current taxable income; when they expect lower income in retirement; when they lack access to a 401(k); as a rollover destination for former employer plans","Potential tax deduction on contributions, tax-deferred growth, wide investment choice vs. employer plans, creditor protection in many states","RMDs required at 73, withdrawals taxed as ordinary income, contribution limits, early withdrawal penalties, income limits on deductibility","22-72","Long-Term (10-30+ years)","Conservative, Moderately Conservative, Moderate"
"4","ROTH_IRA","Roth IRA","Retirement Account","Tax-Exempt — contributions after-tax; qualified withdrawals tax-free","$7,500 ($8,600 if age 50+)","Phase-out $153K-$168K single / $242K-$252K married filing jointly","10% penalty on earnings withdrawn before age 59.5 and before 5-year holding period","None — no RMDs during owner's lifetime","Stocks, ETFs, Bonds, Mutual Funds, CDs","After-tax retirement account where qualified withdrawals of both contributions and earnings are completely tax-free. Contributions (not earnings) can be withdrawn at any time without penalty, providing a degree of flexibility.","Young professionals early in their careers, clients in lower tax brackets now who expect higher rates later, those wanting tax-free income in retirement, high earners using backdoor Roth strategy","When client is in a low current tax bracket; when they want tax diversification in retirement; when they have a long time horizon for tax-free compounding; when they may need access to contributions before retirement","Tax-free growth and withdrawals, no RMDs, contributions withdrawable anytime without penalty, excellent for estate planning","Income limits restrict direct contributions, no upfront tax deduction, contributions are after-tax dollars, 5-year rule applies to earnings","18-55","Long-Term (15-40+ years)","Moderate, Moderately Aggressive, Aggressive"
"5","SEP_IRA","SEP IRA","Retirement Account","Tax-Deferred — contributions deductible; withdrawals taxed as ordinary income","Lesser of 25% of compensation or $72,000","None for contributions (employer/self-employed only)","10% penalty on withdrawals before age 59.5 (exceptions apply)","Yes — RMDs begin at age 73","Stocks, ETFs, Bonds, Mutual Funds, CDs","Simplified Employee Pension IRA designed for self-employed individuals and small business owners. Allows significantly higher contributions than a Traditional or Roth IRA. Employer (or self-employed individual) makes all contributions — employees cannot contribute.","Self-employed individuals, freelancers, independent contractors, small business owners with few or no employees","When client is self-employed or owns a small business and wants to maximize retirement contributions; when business income is variable (contributions are discretionary year to year); when simplicity of administration is a priority over a 401(k)","Very high contribution limits, tax-deductible contributions, simple to set up and maintain, flexible annual contributions, can be combined with a Traditional IRA","Employer must contribute equally for all eligible employees, no Roth option, no employee salary deferrals, RMDs required, early withdrawal penalties","30-60","Long-Term (10-25+ years)","Conservative, Moderate, Moderately Aggressive"
"6","ROLLOVER_401K","401(k) Rollover IRA","Retirement Account","Tax-Deferred — maintains tax-deferred status from prior employer plan","No new contributions (rollover only)","None","10% penalty on withdrawals before age 59.5 (exceptions apply)","Yes — RMDs begin at age 73","Stocks, ETFs, Bonds, Mutual Funds — broader selection than typical 401(k)","A Traditional IRA used to receive assets rolled over from a former employer's 401(k), 403(b), or other qualified retirement plan. Preserves tax-deferred status while providing greater investment flexibility and control than most employer-sponsored plans.","Clients who have left an employer and want to consolidate retirement assets, those seeking broader investment options than their old 401(k) offered, clients approaching retirement and consolidating accounts","When client changes jobs or retires; when old 401(k) has limited or high-cost investment options; when consolidating multiple retirement accounts for simplicity; when client wants more personalized investment management","Broader investment universe, lower fees than many 401(k)s, consolidation simplifies management, continued tax-deferred growth, potential for Roth conversion","No new contributions, still subject to RMDs and early withdrawal penalties, loses certain 401(k) protections (e.g. age 55 separation rule), potential loss of creditor protection in some states","35-70","Medium to Long-Term (5-25+ years)","Conservative, Moderately Conservative, Moderate"
"7","TRUST_ACCT","Trust Account","Taxable Account (Grantor) / Tax Entity (Non-Grantor)","Varies — Grantor trusts taxed to grantor; Non-grantor trusts file own return","Varies by trust structure","None","None — subject to trust terms","Varies by trust type","Stocks, ETFs, Bonds, Mutual Funds, Real Estate, Alternative Investments","An investment account held in the name of a trust — a legal entity created to hold and manage assets for beneficiaries according to the trust document. Used for estate planning, asset protection, and controlled wealth transfer.","High-net-worth individuals with estate planning needs, clients wanting to avoid probate, those providing for a minor or special needs beneficiary, business owners planning succession","When client has a taxable estate or complex estate planning needs; when they want to control how and when assets pass to heirs; when avoiding probate is a priority; when providing for a beneficiary with special needs","Avoids probate, enables controlled wealth transfer, potential estate tax reduction (irrevocable), asset protection (irrevocable), flexibility in distribution terms","Complexity and cost to establish, irrevocable trusts sacrifice control, potential ongoing administrative burden, non-grantor trusts reach highest tax bracket quickly","45-80","Long-Term (10-30+ years)","Conservative, Moderately Conservative, Moderate, Moderately Aggressive"
"8","UGMA_UTMA","Custodial (UGMA/UTMA)","Taxable Account","Taxable — first ~$1,300 tax-free, next ~$1,300 at child rate, above taxed at parent rate (Kiddie Tax)","Unlimited (gift tax exclusion $18,000/yr per donor)","None","None — irrevocable gift to minor","None","Stocks, ETFs, Bonds, Mutual Funds","A custodial account established under UGMA or UTMA that holds assets for a minor. The adult custodian manages the account until the minor reaches the age of majority (18-21 depending on state), at which point the minor gains full control.","Parents or grandparents saving for a child's future, clients wanting to gift assets to a minor without a formal trust, those funding goals beyond education","When client wants to invest on behalf of a child for any future goal; when simplicity is preferred over a trust; when client may not qualify for 529 benefits; when assets include non-cash items like securities or real estate (UTMA)","Simple to open, flexible use of funds (not limited to education), potential Kiddie Tax benefits on modest income, irrevocable gift removes assets from donor's estate","Minor gains full control at age of majority, irrevocable gift, Kiddie Tax limits tax advantages, counts as student asset (hurts financial aid), no contribution limits but gift tax rules apply","0-17 (child age)","Medium to Long-Term (5-18 years)","Conservative, Moderate"
"9","529_COLLEGE","529 College Savings","Education Savings Account","Tax-Exempt — contributions after-tax; qualified withdrawals tax-free","Varies by state (typically $300K-$550K lifetime); up to $18,000/yr gift tax exclusion (or $90,000 superfunding over 5 yrs)","None","10% penalty plus income tax on earnings for non-qualified withdrawals","None","Age-based portfolios, Mutual Funds, ETFs (options vary by state plan)","A state-sponsored education savings plan that allows after-tax contributions to grow tax-free when used for qualified education expenses. Unused balances can now be rolled to a Roth IRA (up to $35,000 lifetime, subject to rules).","Parents and grandparents saving for a child's education, families wanting tax-free growth for education costs, high-income clients seeking additional tax-advantaged savings vehicles","When client has a child or grandchild and wants to fund education tax-efficiently; when state offers a deduction for contributions; when client wants to superfund in a single year; when client is concerned about gift tax on large education gifts","Tax-free growth and withdrawals for qualified expenses, state tax deductions in many states, high lifetime contribution limits, superfunding option, new Roth IRA rollover option","Penalties on non-qualified withdrawals, limited investment options vs. brokerage, counts as parental asset for financial aid, funds must be used for education or rolled to Roth with restrictions","0-17 (child age)","Medium to Long-Term (5-18 years)","Conservative, Moderately Conservative, Moderate"
"10","HSA","Health Savings Account (HSA)","Health Savings Account","Triple Tax-Advantaged — deductible contributions, tax-free growth, tax-free qualified withdrawals","$4,400 individual / $8,750 family; $1,000 catch-up if age 55+","Must be enrolled in a High-Deductible Health Plan (HDHP)","No penalty after age 65 (taxed as ordinary income); 20% penalty before 65 for non-qualified expenses","None","Stocks, ETFs, Bonds, Mutual Funds (once minimum cash balance met — varies by provider)","A tax-advantaged account paired with an HDHP used to pay for qualified medical expenses. Often called the triple tax advantage account. After age 65, funds can be used for any purpose (taxed as ordinary income) making it a powerful supplemental retirement vehicle.","Clients enrolled in an HDHP who are healthy and can afford to pay medical expenses out of pocket, those looking to maximize tax-advantaged savings, clients planning for healthcare costs in retirement","When client has an HDHP and wants to maximize tax efficiency; when client can afford to pay current medical costs out-of-pocket and let HSA grow; as a stealth retirement account once IRA and 401(k) are maxed; when client anticipates significant healthcare costs in retirement","Triple tax advantage (unique among all account types), no RMDs, funds roll over year to year, becomes a de facto Traditional IRA after 65, excellent for funding retirement healthcare costs","Must have HDHP coverage to contribute, limited contribution amounts, penalties for non-qualified withdrawals before 65, investment options vary by provider, minimum cash balance often required before investing","25-64","Long-Term (10-30+ years)","Conservative, Moderately Conservative, Moderate"
"11","APEX_GROWTH","Apex Growth Program","Proprietary Advisory Program","Taxable (held in Individual or Joint Brokerage)","N/A — program fee 0.85% AUM","Minimum $250,000 investable assets","None","None","Large-cap equities, Growth ETFs, Sector funds, International equities, Tactical cash","A discretionary equity-focused managed program designed for long-term capital appreciation. Apex Growth uses a proprietary factor model combining momentum, quality, and valuation signals to construct a concentrated 25-40 stock portfolio tilted toward high-growth sectors. Portfolios are rebalanced quarterly or when factor scores shift materially.","Clients with a long time horizon seeking above-market returns, those comfortable with equity concentration and short-term volatility, high earners with taxable accounts who have maxed retirement vehicles","When client has $250,000+ in investable assets, a 7+ year horizon, and an Aggressive or Moderately Aggressive risk profile; when client wants active management with a growth tilt; when client is in accumulation phase and can tolerate drawdowns","Proprietary factor-based stock selection, quarterly tactical rebalancing, dedicated portfolio manager, detailed attribution reporting, tax-loss harvesting overlay available as add-on","Concentrated equity exposure increases short-term volatility, minimum asset requirement, program fee on top of fund expenses, not suitable for income-oriented or conservative clients","30-55","Long-Term (7-20+ years)","Moderately Aggressive, Aggressive"
"12","HARBOR_INC","Harbor Income Program","Proprietary Advisory Program","Taxable or Tax-Deferred depending on account wrapper","N/A — program fee 0.70% AUM","Minimum $150,000 investable assets","None","None","Dividend equities, Investment-grade bonds, Preferred shares, REITs, Covered call ETFs, Municipal bonds","A managed income program constructed to generate consistent cash flow through a multi-asset blend of dividend-paying equities, investment-grade fixed income, preferred shares, and REITs. Portfolio targets a 3.5-5% annual income yield with moderate capital preservation. Income distributions are reinvested or swept to cash per client preference.","Retirees or near-retirees needing portfolio income, clients transitioning from accumulation to distribution phase, those wanting predictable cash flow without annuitizing assets","When client is within 5 years of or already in retirement; when they need regular income from their portfolio; when they want equity participation with reduced volatility vs. a pure growth program; when RMD income needs to be supplemented","Consistent income generation, lower volatility than pure equity programs, flexible distribution options, multi-asset diversification, suitable across taxable and tax-deferred wrappers","Lower growth potential than equity programs, income yield not guaranteed, rising rate environments can pressure bond holdings, REIT exposure adds some volatility, program fee reduces net yield","50-75","Medium to Long-Term (5-15+ years)","Conservative, Moderately Conservative, Moderate"
"13","PINNACLE_WM","Pinnacle Wealth Management Program","Proprietary Advisory Program","Taxable / Tax-Deferred / Tax-Exempt — multi-account overlay","N/A — program fee 1.10% AUM (tiered above $1,000,000)","Minimum $1,000,000 investable assets","None","None","Individual equities, Fixed income, ETFs, Alternative investments, Private credit, Structured notes, Options overlays","A comprehensive discretionary wealth management program for ultra-high-net-worth clients. Pinnacle provides holistic portfolio construction across all account types simultaneously using a tax-aware multi-account overlay strategy. Includes access to alternative investments, private credit, structured notes, and bespoke options overlays. Each client has a dedicated lead advisor and quarterly investment committee review.","Ultra-high-net-worth individuals and families with complex financial needs, multi-generational wealth planning clients, business owners post-liquidity event, clients with concentrated stock positions or alternative investment exposure","When total investable assets exceed $1,000,000; when client has multi-account complexity requiring coordinated management; when estate planning, tax efficiency, and investment management need to be integrated; when client wants access to alternative or private market investments","Dedicated advisor plus investment committee, multi-account tax overlay, access to alternatives and private credit, bespoke structured solutions, integrated estate and tax planning coordination, white-glove reporting","Highest fee tier, $1,000,000 minimum creates access barrier, complexity may not be necessary for simpler situations, alternatives and private credit are illiquid, requires detailed onboarding and ongoing data aggregation","45-75","Long-Term (10-30+ years)","Moderate, Moderately Aggressive, Aggressive"
"14","EVERGREEN_ESG","Evergreen ESG Program","Proprietary Advisory Program","Taxable or Tax-Deferred depending on account wrapper","N/A — program fee 0.75% AUM","Minimum $100,000 investable assets","None","None","ESG-screened equities, ESG ETFs, Green bonds, Sustainability-linked funds, Impact fixed income","A values-aligned discretionary program that constructs diversified portfolios exclusively from ESG-screened and impact-oriented securities. Evergreen uses a proprietary ESG scoring framework evaluating companies on environmental footprint, board diversity, labor practices, and governance quality. Excludes fossil fuels, weapons manufacturers, tobacco, and predatory lending.","Socially conscious investors, clients who want their portfolio aligned with personal values, younger investors building long-term wealth with an ESG mandate, institutions with responsible investing requirements","When client explicitly prioritizes ESG or impact investing; when client has negative screens (industries they do not want to own); when advisor wants to differentiate service with a values-based offering; when client is younger and building a long-term values-aligned portfolio","Proprietary ESG scoring, negative and positive screening, annual ESG score rebalancing, impact reporting included, competitive performance vs. broad market over long periods","ESG definitions vary and scoring is subjective, may exclude sectors that outperform in certain cycles, limited exposure to some value segments, slightly higher internal fund costs for ESG ETFs vs. plain-vanilla alternatives","22-50","Long-Term (10-25+ years)","Moderate, Moderately Aggressive, Aggressive"
"15","STEADFAST_CONSV","Steadfast Conservative Program","Proprietary Advisory Program","Taxable or Tax-Deferred depending on account wrapper","N/A — program fee 0.60% AUM","Minimum $75,000 investable assets","None","None","Short and intermediate-term bonds, Treasury securities, Investment-grade corporates, Dividend equities, Money market funds, CDs","A capital preservation-focused managed program designed for risk-averse clients or those nearing or in retirement. Steadfast maintains a fixed allocation of 20-30% equities and 70-80% fixed income, rebalanced semi-annually. The equity sleeve targets low-volatility dividend payers; the fixed income sleeve ladders maturities to manage interest rate risk and provide predictable cash flows.","Conservative investors, retirees prioritizing capital preservation over growth, clients who experienced significant losses and want to de-risk, those with short time horizons or specific near-term liquidity needs","When client has a Conservative or Moderately Conservative risk profile; when they are in or near retirement with limited ability to recover from drawdowns; when preserving principal is the primary objective; when a client is transitioning from a growth program as they age","Lowest volatility of all proprietary programs, bond laddering reduces rate risk, semi-annual rebalancing maintains discipline, lowest program fee, suitable across taxable and tax-deferred wrappers","Limited upside in strong equity markets, inflation risk over long periods if real returns are low, not appropriate for clients with long horizons who need growth, fixed income performance sensitive to rising rate environments","55-80","Short to Medium-Term (2-10 years)","Conservative, Moderately Conservative"
"16","MOMENTUM_TACT","Momentum Tactical Program","Proprietary Advisory Program","Taxable (held in Individual or Joint Brokerage)","N/A — program fee 0.95% AUM","Minimum $200,000 investable assets","None","None","Equity ETFs, Sector ETFs, International ETFs, Inverse ETFs (hedging only), Commodity ETFs, Cash","A rules-based tactical asset allocation program that dynamically shifts exposures across equity sectors, geographies, and asset classes based on relative momentum signals. The program can hold up to 30% cash or short-duration bonds during risk-off environments. Rebalancing is triggered monthly or when momentum thresholds breach defined bands — not on a fixed calendar.","Sophisticated investors comfortable with active tactical trading, those who want downside mitigation through dynamic allocation, clients who have been disappointed by passive strategies during drawdowns","When client has $200,000+ in a taxable account, a moderate-to-aggressive risk profile, and understands that tactical strategies may lag in strong trending bull markets; when client wants a systematic rules-based approach rather than fundamental stock picking","Dynamic risk management through momentum signals, potential to reduce drawdowns vs. buy-and-hold, systematic and rules-based approach removes emotional decision-making, monthly rebalancing keeps exposures current","Higher turnover increases taxable events (best in tax-deferred if possible), may underperform in low-volatility trending markets, rules-based approach can lag during rapid reversals, higher fee than passive alternatives","35-60","Medium to Long-Term (5-15+ years)","Moderately Aggressive, Aggressive"
